,US Customer Name,US Review title,US Ratings,Reviews
65,KragithZedrok,Iron Man that is all,5.0 out of 5 stars,  My favorite water bottle ever. It is super durable but the top cap for the stones likes to pop off randomly. Be sure not to wash with stones inside as they will stink.
66,Lucy,Well designed and very convenient,4.0 out of 5 stars,"  The first thing I noticed is that the actual bottle appears very different in real life. Not as beautiful as the pictures because the pictures are shot against a white background which makes the white plastic on the sides blend in and the color of the bottle stand out.That being said, the bottle's extremely well designed. I love that the cap is attached but doesn't fall on my face when I'm drinking out of the bottle. I don't find it particularly heavy (esp compared to the sigg bottle I used before this). The elliptical shape also helps me grip the bottle securely when I'm drinking. I have small hands so I've always had problems with Nalgene and Sigg bottles, but this is extremely comfortable. The gel silicone plastic on the bottom of the bottle makes it very secure once it's set on the table.I think 750mL is the perfect volume, as it doesn't make a full bottle too heavy to carry in my bag, but also means I don't have to constantly refill it. The handle on top is comfortable to use as well, and means I don't have to throw it in my bag if it's already too heavy. No issues with the top accidentally opening/leaking.I'm not an outdoorsy person so the fact that the bottle's not too ""rugged"" is not a problem for me. For carrying back and fourth from home/office/school, this is just perfect."
67,Soggyinseattle,Great concept.,4.0 out of 5 stars,"  It's a great concept, and overall I'm pleased with it, despite the fact that it's huge (stands almost 10 inches tall); due to it's oval width it won't fit in my any of my 2010-model car cup holders (not even the door side-pockets); when filled, it's heavy.  My suggestion to KOR is to make a more practical version that is shorter (maybe 6-8 inches tall), and a bit narrower to fit in cup holders.  It's a great looking bottle and I like the added feature of putting either sayings (that come with the bottle) or creating your own, so that when you open the cap, there's a friendly reminder sealed in the cap for yourself (mine is ""Laugh Often"")."
68,TMB,Large and handy,4.0 out of 5 stars,  This bottle holds enough water in it to get me through the work day and the opening is large enough to put ice cubes into it and the lid stays put without falling into my face when I take a drink from it. The handle makes it easy to carry when hands are full with other items and the rubber bottom keeps it from knocking over. The only downside is that it doesn’t fit in my cars cupholder.
69,Peter Steers,Beautiful but poor/fragile hinge design.,1.0 out of 5 stars,"  Pros: Beautiful bottle, good handle design.Cons: Not machine washable.  The ""Stones"" are dumb and pointless, and their inclusion means an extra piece of rubber on the top is needed to keep the ""stones"" in.  Worst of all, the hinge is extremely weak and broke after accidentally dropping the bottle once;  the plastic doesn't lend itself to repair.  Also pricey for a plastic bottle. I'd recommend a normal Nalgene or similar for convenience and durability."
70,Charles Haze,Cool but not a long term bottle,2.0 out of 5 stars,"  I have bought 2 of these becuse i like to stay hydrated and i saw it in an ironman movie and couldnt resist. They have a flaw in the closing mechanism and hinge where it is very weak and prone to cracking.(broke 2 bottles this way just opening it normally, didn't drop them or anything) Another possibility might be that the plastic is more brittle or mine just happened to be smacked around in shipping and just gave out after a few uses. If you buy one love it, use it, clean it, and only drink clean drinking water out of it.(High calcium water will fog up the plastic and be difficult to clean."
71,v12tommy,I love my water bottle,5.0 out of 5 stars,"  I love my water bottle. All of my co-workers comment on how good my ""Iron Man"" water bottle looks when they walk by. My only complaint is the motivation disk on top, or whatever they call it. Every now and then the rubber piece holding it in will fall off, and then the little paper disk goes floating to the ground. It seems like a gimmick, and I never pay attention to it when I'm drinking anyway. Other than that, the water bottle is solid. I'd definitely buy again if I need a second water bottle."
72,Erica Vincent ,People will steal when they realize the awesomeness!,5.0 out of 5 stars,  Keep the black on black in stock please! I love these soo much! I have a cupboard full of them. The kids and family members all keep stealing or using them.
73,BRUCE-KAT,Quality!,5.0 out of 5 stars,"  I’m all about quality n this bottle is according to  my standards!!It’s beautiful with a unique (ergonomic) design, n color that reminds me of those magnificent pieces  of blown glass art!! CANT BEAT THIS!!It’s so easy to clean it. Great size to fit in bottle pockets"
74,Desy,"Beautiful but as others have mentioned, Fragile!!!!",3.0 out of 5 stars,"  Purchased this less than a year ago from Amazon, and when I used it at work, I got many compliments and attention because it was such a beautifully crafted vessel. Unfortunately, one morning as I was exiting my car, it fell, and a plastic hook on the cap cracked off. I was so put off!! Granted it was my fault it broke, but one fall = breakage makes me wish I didn't spend 30 bucks on a glorified piece of plastic!You're pretty much paying for the aesthetic design on this one - 

NALGENE Tritan Wide Mouth BPA-Free Water Bottle

   are much cheaper, and has stood the test of time when it comes to durability."
75,Jesse Lowe,"looks great, but not exceptionally durable, potential design issues and defective from the box but still cool.",4.0 out of 5 stars,"  I had to return mine because it had a crack at the hinge right out of the box. I didn't notice the funny smell out taste some reviews mention, but the construction needs some improvement for me to consider getting one again. Open mouth designs are hard to find with seals so this product is still very cool, but I need durability rather than fashion. It does look really cool and my issues may really be due to defect to I'm raiting it with consideration to the overall experience. If you are gentle on things and like the look it's a great item- kinda sorry I had to return it."
76,Subhaashini,Terrible quality. Its very bulky,1.0 out of 5 stars,"  Terrible quality. Its very bulky. The lid is so hard to open.Shipping back costs SG$70. It's so badly made, I can't use it. So I have no choice but to trash it.Please spend your money on something better."
77,Ms. Z,Beautiful and convenient,5.0 out of 5 stars,"  I get compliments from friends, coworkers, and total strangers about this water bottle.  I have to say that this is a beautiful vessel, and it's made it easier for me to drink water throughout the day. It's very durable as I've dropped it several times on concrete without any leakage or damage to the bottle.  The unique handle makes it very easy to carry around, and it never leaks in my purse or bag.  The opening of the bottle is wide enough for the square ice cubes I have at work, but too small for the cubes from my ice cube tray at home.  Other than that, it's perfect and I recommend it for anyone who's looking for a pretty, sturdy water bottle."
78,Adam,Looks good but not great quality,2.0 out of 5 stars,"  Its a great looking water bottle but the quality of the product isnt the best. The chrome parts feel like cheap plastic. my bottle fell off a table and cracked and now leaks. for the cost of this water bottle, i was expecting higher quality materials. other than that, the bottle worked fine for me. the smooth spout part was very nice and the customization of the top part was fun, but i wont be buying another one of these overpriced water bottles."
79,MA,Awesome Water Bottle,5.0 out of 5 stars,"  I love this bottle it has a very unique sleek look to it, I've gotten so many people asking me where I purchased my water bottle...oh and the cute message when you open the lid is a plus.  Just try avoiding wearing lipstick while drinking because it might stain the rubber and the clear plastic gets easily scratched but overall great buy!"
80,Amazon Customer,Locking latch broke after several months use,3.0 out of 5 stars,"  Unique looking water bottle; saw it in an Iron Man movie. Great bottle, large water capacity. I was apprehensive about a hinged lid. The bottle lasted for several months, and then one of the two plastic latch lock(?) broke. It is only a matter of time before the second breaks and then the water bottle is useless; it will not latch/ lock closed.  Will be shopping for a screw top bottle, instead."
81,Jdenyoung,Great water bottle.,5.0 out of 5 stars,  Great looking bottle that catches attention. No leaks as long as the lid locks properly. Lid catches a little bit on occasion.
82,BigGameDale,Like it kinda...,3.0 out of 5 stars,  Bought two of these.  One for me and one for my fiance.Pros... Large capacity.  Large spout for easy pour. Looks cool.Cons... Too expensive compared to other bottles.  The inspirational message holder doesn't stay pressed in place very well.
83,M. irving,TONY STARK BOTTLE! YES,4.0 out of 5 stars,"  this is the same container tony stark uses in iron man 1 and 2. i love it. the liquid he was drinking was chlorophil. a blood cleanser and detox to remove metals from the body ( mercury, aluminum ) . great container. do not wash the cover in hot water though. the rubber seal can get shapless. but i kept using cold water and a bottle brush and i love it still"
84,Todd A Christy,Perfect water bottle,5.0 out of 5 stars,"  Perfect water bottle. Sturdy, simple, and elegant. It does its job well, and feels like it will last a long time. I had another one of these and unfortunately lost it. Liked it so much I went back to the well. Worth the extra money. Someone else described it by saying ""If Apple made water bottles, they would look like this..."" That sums the Kor One up nicely."
85,Erik C,"Great bottle, but Cobalt Blue is actually purple...",5.0 out of 5 stars,"  First off, I have to say that the bottle itself is great. It's stylish and a lot better looking to carry around than an ordinary water bottle, if you're into that sort of thing, I'm not, but it looks awesome sitting on my desk.The rolled lip makes the bottle very comfortable to drink from and the ergonomic shape makes it very comfortable to hold. It's size won't allow you to put it in any conventional cup holder, but thanks to the locking mechanism and the rubber O-ring on the inside of the lid, your drink, whether it be water or any other kind of cold liquid, is not going anywhere even if the bottle rolls around a bit. The wide-ish mouth also allows you to stick most sized ice cubes in to give your drink that extra freshness.Now, while I do think the bottle is awesome, I do have a couple... not really cons, but things I wasn't really too chuffed about. First off, and sort of unrelated to the bottle itself, the packaging. Amazon didn't do a very good job with the packaging on the product like Kor Water would have done if I bought it direct. The bottle itself is supposed to have a nice polished look and for the most part it does. But because they didn't wrap it in some kind of bubble wrap, the inside of the box did scuff the bottle up in some places. Luckily though, the bottle is dark enough that it's not easily visible at first glance. If you were to buy the ice blue color though, this would definitely be worth the time it would take to send it back.Finally, and like it says in the title of my review. Cobalt Blue isn't actually blue. I've scoured the Kor Water website to find the one that the bottle I received actually looks like, but they don't sell a purple-ish one. So I'm not really sure how they got their image of the bottle looking so blue, but what you get with this one is not like that. From up close the bottle that I have is distinctly purple, from a distance and under certain lighting conditions it does have a blue haze to it.Other than the mentioned issues though, this bottle is a really convenient and slick looking bottle as far as bottles go. And... purple with a hint of actual blue isn't that bad.Update: I was just trying to upload a couple pictures of this, but I'm finding out that through some optical allusion or the material that the bottle is made of itself... it looks like a true blue from behind the lens. I'll try my best to capture its true color and upload a good visual representation of the bottle that you would see."
86,Amazon Customer,It's easy to carry and a little bit longer than the ...,4.0 out of 5 stars,  It's easy to carry and a little bit longer than the length from my elbow to my wrist .. Longer than expected but still not heavy .. It isn't as easy to open as people on her were saying it was .. Maybe because I'm weak but all together it's nice
87,Brooke Kotzen,I loved the design of the water bottle,5.0 out of 5 stars,  I loved the design of the water bottle. It is very affective and its very convenient to carry around. I would recommend anyone to purchase this item! It holds a lot of water so you don't have the inconvenience of having to keep refilling. Very sleek design and I have received a lot of compliments on it!
88,Philly Gal,You may as well look great while you stay hydrated.,4.0 out of 5 stars,"  Okay, I get it.  You should not have to pay a fortune for a good water bottle, but I love the KOR ONE.  I have purchased three so far.  I knocked the first one off of a railing and it fell down the stairs and broke.  My bad.  I use the second one every day.  The third was a gift for my mother.  She loves it and has been asking for it forever.  That said, everyone asks about this bottle.  It's very stylish, easy to use and it's just the coolest bottle I've ever seen.  I give it four stars because; 1) like I said, it could be cheaper, 2) I wear lipstick every day and it does transfer from the bottle lip to the rubberized seal on the cap. MAC meet KOR.)  This can be hard to clean because it's a soft rubber. 3) My first one broke, so it's not made for a taking a tumble, although a full flight of stairs would be tough on anything.  So, in summary, KOR ONE is awesome and I will buy more.  There are other colors, which is cool, too."
89,C. Marti,I loved this bottle when I first got it,3.0 out of 5 stars,"  I loved this bottle when I first got it, but within a month or two the button to open the top just was as smooth, it started getting more difficult to open. I also don't like how at the top you can pop open the little coin lid to change the saying in the top. I feel like its an unneeded gimmick that will eventually hurt the integrity of the leak proof seal. It is very attactive though and over all I really like it, but for the price, the lid and release mechanism should still be as good as it was on day one."
90,Brian,Great Water Bottle,5.0 out of 5 stars,  I love this water bottle. Large fill mouth and the plastic is very resilient I have dropped it multiple times with no issues. I ordered this and also the one with the filter straw and use both of them constantly. I would buy another one I truly bought it at first due to it being the same water bottle used by Robert Downey Jr. in Iron Man 2.
91,JEC,They are kind of fun though. Overall I'm very satisfied with the KOR ...,5.0 out of 5 stars,"  I previously purchased a KOR water bottle of the same color in Target about five years ago maybe, but they no longer seem to be sold there. This one is almost exactly the same, except they now include less ""stones."" However, I suppose the inspirational phrases are not really that integral a part of the ""hydration vessel"" experience. They are kind of fun though.Overall I'm very satisfied with the KOR bottle. It is rather tall, and won't fit comfortably in a cup rest if that's important to you. But, I like the look of its tallness, and usually am carrying it in my (somewhat large) bag. It does look quite nice and holds a goodly amount of water, which is important to me because I like to drink a lot of water throughout the day."
92,Monica Hazel,Not the Kor I have known before,2.0 out of 5 stars,  Previous Kor water bottle purchase was excellent quality so we bought 3 more. All 3 were a disappointment. Appears they changed manufacturer?? Design still cool- but quality lost. Each lid is crooked and does not close completely. It is supposed to be a 1 hand open/close but 2 hands barely does it now.
93,Krystal Stollenwerk,Unique and awesome,5.0 out of 5 stars,  I love this water bottle! The design is unique and I get tons of compliments on it. The opening is big enough to fit ice cubes and I have had no problems cleaning it with a bottle brush. The motivational stones in the top are a fun little addition and the purple color is so pretty! It's just a fun and different water bottle that has quickly become my favorite.
94,Sgt. Slab Wrankle ,Pretty cool stylish bottle,4.0 out of 5 stars,"  I got this bottle because I saw the exact same bottle in iorn man 2. It looks really good. I was expecting it to be bigger but in ounces it's 25 oz big. It's actualy a pretty good size. The price isn't bad despite most claiming its ""to expensive"" I only payed a little over $30 for it which is only $10 more than what I payed for my polar bottle which is 24 oz in size.I love the desighn. The chrome sides really make it stand out. BPA free is good because that means less chance of chemicles ending up in the watter from the bottle keeping the watter clean. It also looks easy to clean when I need to & the opening is big enough for ice.The material feels a bit on the cheap side though. I haven't dropped it yet but wouldn't trust dropping it. The hinge on the lid feels a bit flimsy to. Only a small pin holds together a plastic hinge. For a bottle that was advertised in a movie I would have preferred better quality matereal like glass & maybe real chrome or some kind of chrome plated rust resistant metal but that would make it heavy & increase cost production so that's why it's plastic. Just wish it was at least stronger plastic.It's a good looking high capacity watter bottle over all. I can see why this bottle won awards in design & allot of people like it. I think it was a good buy."
95,Kevin Held,so I don't even feel bad about it,4.0 out of 5 stars,"  Let's be real: This is kind of spendy for a water bottle. Or a ""hydration vessel"" as I think they call it.Either way, I used a gift card, so I don't even feel bad about it.  It's a nice water bottle, the closure fits well, a friend is making snarky ""stones"" for me to put in the top instead of the inspiring drivel they decide to print (they're pieces of paper, by the way).It seems to be pretty sturdy. I haven't dropped it on hardwood or concrete yet, though the metallic finish is a little easier to scratch than I would like.It's BPA free so my water is free from nad shriveling contaminates, which I enjoy.  The water does taste fresher than most other water bottles I've used, especially after sitting for some time.  I left it for 3 days in my car and the water tasted fine.  I am what one would call an ""advanced drinker"", and I have yet to put alcohol in it.  As much as I like a stiff drink, I don't want to smell it for eternity.Tl;dr - If it's good enough for Tony Stark, it's good enough for you."
96,Kevin,"It looks great, feels sturdy",5.0 out of 5 stars,"  I keep a nalgene at my office and I bought a Kor for home. It looks great, feels sturdy. I love how the bottom has a rubber padding so you don't have to worry about scratching furniture surfaces. The only issue I see is the closing hinge mechanism. I can imagine it breaking further down the line after a lot of use. With my nalgene, I could always buy a replacement cap. Not sure if I could replace the top if I wanted to. I guess time will tell how long it will last. Overall I love the bottle."
97,MD,The choice of Tony Stark...?,3.0 out of 5 stars,"  Bought this as a gift for a huge fan of Ironman, who just really wanted the ""cool"" factor of having the same water bottle used in Ironman 2, out of which Tony Stark was drinking his fancy beverage in hopes to keep his blood poisoning at bay.From that standpoint, it was a massive success -- it is indeed the same product from the film, and so my brother was hugely happy to have the bottle from those scenes, which he'd said so many times he wished he could find.On the surface then, it should get five stars as a movie prop, but, as a water bottle, one might wonder a bit why a bizillionaire would be represented as buying this item, considering he could buy any water bottle on earth....then again, ahahaha, it's a movie so that's a really ridiculous question to pose, since it's fiction.  Clearly, while it's fun to buy stuff that a superhero might have in his house, there's no accounting for choice of product placement in a film, so buying anything from just a glimpse in a movie scene is risky, of course.But, come on, flying suit aside, the Marvel films featuring Ironman do strive for some element of realism in portraying a ""genius, billionaire, philanthropist playboy,"" so one might hope the fictional Tony would showcase a really outstanding ""real world"" water bottle, right?  Then again, he is shown to drive an R8, where someone in his shoes would probably more likely choose something like a Veyron, so maybe expecting this to be the best of the best ""hydration vessel"" was a doomed hope...Anyway, jokes aside on what a comic book hero might buy, as the ultimate water bottle, this one is not so ultimate in real life, according to real life feedback.While my bro loves the movie prop side of it, he does also use it for a water bottle, and noted that its big size makes it a bit clunky, the mouth, while big enough for slimmer sized ice cubes, is not that comfortable to drink out of (too vigorous of a tip back will result in wearing your choice of beverage all over your chin and chest), it tends to hold the odor of whatever you drank, even after repeated washing, and the ""inspirational"" saying plunked under a removable top cap, visible when you pop the lid to take a drink, is a bit cheesy and pointless -- why they even bothered to go to the lengths of designing a lid that holds a pep talk is, to say the least, an odd choice of design, and the cheap paper ones they include (which state either ""be the change"" or ""imagine"") are ridiculously cliche, fail to inspire, and would easily be ruined if they ever got wet, which seems somewhat eventual since it's a water bottle (although, to date, the ""stay dry"" seal has kept them safe from moisture, so applause for at least having a solid design for that strange feature).Even the action of the lid doesn't feel as sure as one would hope, or expect, in a higher priced water bottle -- it doesn't give a satisfying ""click"" into place, and instead you wind up testing the closure a few times, hoping it is fully sealed.  Thankfully, when closed, at least it doesn't leak, but there's not a lot of confidence it will stay shut, due to a front mount locking button that is not at all recessed, and, worse, sticks out a bit far, making it a rather risky set up, since, if bumped wrong at all in transport, or in your bag or wherever, the water bottle lid would fully open and instantly spill the entire contents of the bottle if on its side or upside down, etc.Thus, as purely a water bottle, especially at the price point, this pretentiously named ""Hydration Vessel"" would not be a first choice, or even a tenth choice probably, given what else is available with better value and more user friendly design.The ""Thermos"" brand, for example, offers an excellent pop top insulated stainless steel model with a far superior design, having a screw off top with a much wider mouth for filling it and accommodating fuller sized ice cubes, plus sports a pop top with a small spout for drinking that offers a far superior lid lock element to it that guarantees no accidental spills.Outside of a movie prop item then, this just does not seem to be a hugely well thought out product, but, on the plus side, it is BPA free, so kudos for that, it has a rather clever non-slip bottom to it, courtesy of a rubber ring, seems pretty indestructible in build, does stay closed once closed (although the slightly too exposed lid release button is, as stated, a bit of a worry), it looks pretty cool in a modern sort of way and, hey, it's the water bottle from Ironman, so that's neat, no matter how well it works!As something from a movie for a movie fan, it's five stars -- same product from the film, so a big ""wow"" factor there -- but as a water bottle, it's more like two stars, and that's being generous, so the final tally only limps up to three stars total.If it was solely marketed as a movie prop item (which most folks might not even realize it ever was) for display, it would be a win, but selling it as high priced hydration vessel leaves one disappointed since its real world use as a water bottle fails to impress.Would recommend for a fan of Ironman, as a conversation piece.  Wouldn't recommend for much else -- not the worst water bottle ever made, certainly, but a far cry from being anywhere near the top of the pack.Seems Mr. Stark may well be able to invent a new element for the Periodic Table, but still needs some education when it comes to buying everyday household items..."
98,KLPMAN,WORST SERVICE EVER,1.0 out of 5 stars,"  I bought a KOR bottle almost four months ago. Two weeks later, the rubber seal on the underside of the cap ripped off as I opened the bottle, and it was unusable as it leaked profusely.  I've been waiting over three months for a $2.00 rubber casket that has been on ""back order"", so says the company. Give me a break!! Save your over twenty dollars for a plain water bottle that will cost you less than $10.00! If a company can't supply a necessary part (which shouldn't have failed in the first place) for over three months they should not be in business!"
99,Carlos Diaz,5 stars,5.0 out of 5 stars,  I love it & a lot of people always tell me that my water bottle looks cool 😁 this is Tony stark’s water bottle from iron man 2
100,Musiclover_671,Cool Looking Water Bottle the Kor One is!,5.0 out of 5 stars,"  I bought the Kor One Hydration Vessel in Ice Blue about half a year ago and let me tell you, it's a gorgeous water bottle! Sure, it's a water bottle that costs twice as much as a ""normal water bottle"" but it's well worth it.It's a sturdy, well built water bottle!I wanted a water bottle that didn't have a twist off top since it seems that I misplace them all the time. The Kor One has a top that is hinged together (no worries for me, lol) and is easily opened with a click of a button. You can even open it with one hand! Good for me since I'm always on my phone!It has a rubber bottom so that it won't slip! People have been saying that since it's an oval-shaped, that it tips over but that is not the case! It has never ""fallen/tipped"" over on me.People have also complain that the water bottle is cheap and fragile. Well yes, if you drop something that is plastic it will break! I have not dropped my Kor One and I have taken care of it! No scratches so far neither! No, I don't agree with people saying it's cheap! It's been about half a year and it still looks new, you just have to take care of it and not just toss it around!Overall, I'am very satisfied with the Kor One! Always getting compliments for the ""cool"" looking water bottle!"
101,Keiko,Piece of Junk,1.0 out of 5 stars,"  Well, thought this was a great bottle plus it helps the environment but on day 1, it popped out of my backpack's bottle pocket and the handle broke.  Now I'm waiting for the cap to break.  Not worth the price for something so flimsy.  I'm going back to either Nalgene bottles or Camelbak's better bottle.  Great concept and design but poor execution.UPDATE:  Well don't waste $30 on this piece of junk.  Dropped it twice at a height of about 18 inches off the ground and once side of the handle cracked back in March 2010.  Did it again today as it slipped out of my water bottle pocket with bungie cords off my backpack and the handle completely shattered and the lid is crooked that it leaks.  Great design and looks but poor implementation.  For $30 you can get 2 Camelbak better bottles which I dropped from higher distances above the floor and it just bounced and still works great.Well dropped it twice and the cover is misaligned and leaks when closed.  For being environmentally friendly, it's NOT.  It went into the trash can to be incinerated and converted to electricity."
102,Sunnysideup ,MOLD but if you want to keep spending $30 to replace it go ahead.,2.0 out of 5 stars,"  I love the design of the water bottle and it functionality. Unfortunately the rubber circle that touches the opening where we drink from is prone to mold. I’ve tried everything to remove it; a little bit of bleach, distilled white vinegar, dish soap, tea tree oil. Nope :/ I love this water bottle but I don’t want to keep spending $30 each time it becomes undrinkable."
103,Ron Hines,Iron Man's hydration vessel,4.0 out of 5 stars,"  This is a fantastic water vessel. It is quite sturdy and well constructed. The design is quite appealing. It is functional and if you are a fan of the Iron Man movies, Tony Stark has this model of KOR water vessel filled with a solution to counteract the damage done to him by Paladium poisioning. That is a big seller for this color and model. It does however has an extreme weakness. The cap will easily break off at the hinges if you drop it. This happened to me. This hydration vessel is not forgiving of accidental dropping. This KOR hydration vessel is the second one I purchased. The first one broke when I dropped it in he kitchen on a linoleum floor."
104,Amazon Customer,Top of the Line,5.0 out of 5 stars,  This water bottle is amazing!  Well made and so much safer for kids.  My daughter loves it and can't wait to use it for school.
105,DN,this is super modern and well made,5.0 out of 5 stars,"  My wife complained I don't drink enough water so I had to find a water bottle that would stand out from the rest of my co-workers at work.  this is super modern and well made!!! excellent spout size and design!! you can write yourself inspirational messages in the cap.  handle is amazing and secure, no leaks.  love the chrome!!! rubber base is very smart and durable!! great bottle!!!!"
106,A. L. Kinard,LOVE....ummm..not so much.,1.0 out of 5 stars,"  I've got to say, this is a pretty dang sexy water bottle! It feels great in your hands, it's the perfect size to drink out of, I can throw it in my bag and it doesn't leak, and the inspirational sayings in the cap are neat. My only complaint is that the ice cubes made from my trays at home are too big for it, but that is a minor thing.I definitely plan to buy a couple more. Buy one..or two! You won't regret it!EDIT......Ok, not even one month later and I have totally changed my mind. I still think it's sexy to look at, and yes, it is easy to drink from but...The downsides:I like my water COLD. Ice cold. This is not the ideal bottle for ice cubes. I did go and buy the special stick ice cube trays, but it's still a pain.It sweats. A lot.Hard to clean unless you purchase a bottle brush.And finally, it is not as durable as it claims to be. I was having a clumsy day and I dropped it in the parking lot at work. Concrete lot. HUGE crack in the bottle.I went to Costco and bought a 3 pack of the Contigo bottles for half the price of the KOR ONE and half the price the three pack is here at Amazon."
107,George Nassar,Big bottle Poppin,5.0 out of 5 stars,  I am Tony stark...and I approve this bottle.excellent quality worth the price .
108,Miss Gadget lover,Say goodbye to spilled water !,5.0 out of 5 stars,"  I love this water bottle it is made of very thick plastic and holds plenty of water. You can hold it upside down with water in it and no leaks at all. I got tired of buying cheap $10 water bottles that leaked all over the place when tipped over. Yes, it is expensive but its well worth it. This water bottle is very well made and should last a long time. Some of the features I liked are the rubber bottom, flip open top, carrying handle, and its BPA free. In the long run this will definitely save you from having to buy bottled water that is expensive."
109,Angry_BuddhaDSM,A cool looking bottle!,3.0 out of 5 stars,  The Good and the Bad:1.  It looks awesome.  First bottle I have received compliments on!2.  The lock-back lid is great!3.  Wide opening for ice cubes4.  It was in the movie Iron Man (Which is why I wanted to buy it in the first place)The Bad:1.  Thermal Properties are poor.  Doesn't keep drinks cool very long at all.  Bottle will sweat.Suggestion:Though it may make the bottle a bit larger:  Maybe double-line the bottle for better cooling?
110,Andres Sierra,Waste of money...,1.0 out of 5 stars,  Actually really disappointed in this product. I was very excited to receive this water bottle and sadly when I did receive it I came to find that it had a huge crack in it. It leaks and it just doesn't work. Don't know what happened during the shipping but I am not happy with it. Pretty much wasted my money.
111,avatar136,Lovely to use,4.0 out of 5 stars,  Makes me drink water more.  Easy to carry.  Am concerned that because of the hinge lid it may break easily.
112,SupaDave,Scratches easily,2.0 out of 5 stars,"  This product is all show and no performance! The material is a cheap plastic that scratches with ease... By my third workout, this thing looked like it had been through world war 4!! At this price point, I was expecting better... From afar it looks great though LOL"
113,ali,Outstanding design!,5.0 out of 5 stars,"  I just love these bottles, I have my own sink alkaline water purifier and fill them with that water. I was buying Essential by the case for work but now can dramatically decrease my input to plastic waste. The design is exceptional!"
114,Essie,Pretty,4.0 out of 5 stars,"  Its beautiful to have, however the handle doesn't feel nice to carry. The grooves inside kinda digs in the skin after holding it more than an hour. I wish they had this color for the other bottle that has a slanted triangle shape handle."
115,Okie Wobbly,This baby works!,5.0 out of 5 stars,"  This bottle lives up to its promise.  Very pleased all around--design, ease of use, the works.  Thanks!"
116,PM,"Like it a lot, a few things that could be better",4.0 out of 5 stars,"  I have been looking for a while for a safe, reusable, convenient water bottle. I like these a lot, although a few changes could make it perfect (for me).Things I like:- I don't have to worry about toxic chemicals leeching into my water- It doesn't give the water a metallic taste like aluminum bottles- Itas a hinged top, so it has a nicer feel to the mouth than screw-top bottles- It has a non-skid bottom and sides, so it's easier to hold and I don't have to worry about it sliding around- It's attractive!Things that could be improved:- It has an oval shape that doesn't fit into a standard-size cup holder- It's advertised as top-rack dishwasher safe, but it's too tall to fit in the top rack- Because it's hinged, the top is in my face when I'm drinking. I think they could easily redesign the hinge so you could detach the top"
117,iiphotekii,Futuristic style,4.0 out of 5 stars,"  I've been using my bottle all week and I like the style of this bottle. it fits nicely into your hand, its futuristic looking, and the coloring is nice. the only thing i didnt care for is that you need to have small ice cubes, the usual cubes do not fit. other than that, i would purchase another one."
118,A Valero,The best water bottle I've ever had,5.0 out of 5 stars,  Amazing water bottle.After using this water bottle I know this is the only bottle I'll ever useThe shape of the bottle fits greats in my hand and the spout feels great when I drink from it.Drinking water from this bottle is a luxury and makes me want to drink more water !This bottle is a great example of how great product design can create an outstanding experience for the user for something as mundane as a water bottle.
119,lightbearer,not as shiny,2.0 out of 5 stars,"  somewhat disappointed, this is my 4th bottle, first time bought at amazon. not as shiny chrome as my previous 2. this is more matte."
120,beachlife81,Been using this since 2009!,5.0 out of 5 stars,  I bought one in 2009. Loved it. Somehow it broke or got lost several years later. I tried many other water bottles but came back to this one because the design is great.
121,AmazonCustomer,great gift!,5.0 out of 5 stars,"  Here's the lowdown, the bottle is great looking.  It was a gift for a girl, and she seems to love it because she uses it all the time.  When it arrived it didn't come in official packaging, just a plastic bag and inside an Amazon box.  (Does Kor normally send it in packaging?)  The bottle is taller and larger seeming than it looks in the pictures but this wasn't bad, just unexpected.  She's gotten lots of admiring comments on the bottle that she told me about, including ""cool"" and ""sexy"".The cap looks like it could break off if you dropped it with the lid open because the hinge isn't very thick but I think a lot of things in life break if you drop them.  The rubberized bottom is nice.  Overall, a little pricey for a water bottle, but as a gift was really great.  I could have bought two nalgenes but I'd rather buy this one bottle as a unique gift.UPDATE:The bottle was dropped a few months later and the cap hinge broke.  I think they have a new version of this now, so maybe that's what you should look for."
122,ER,I wouldn't recommend it.,1.0 out of 5 stars,  I am not happy at all with this. I got it late and also it looks like used or maybe was dropped on the floor. It had spots on it and doesn't look like new and also when u open the top it gets stuck. Very disappointed and I order a lot from Amazon and this is the first time I get something bad and rated it 1 star.
123,Mike,It's Perfect!,5.0 out of 5 stars,"  I wanted a clear bottle that was easy to use and easy to carry. This is a winner, it looks great, fits my GoFiltr inside and I can watch it work all day. So far I'm loving it."
124,F. Bauman,"Attractive. Great vessel, but expensive and flimsy. Poor support.",3.0 out of 5 stars,"  I hesitated buying this based on the price for what is essentially a plastic, uninsulated bottle.I must say, though, that it is the absolutely best water bottle I have ever used. Something about the way the opening is crafted makes taking a drink so very pleasurable.That's about the end of the positive.Mine tipped over on the counter after about a month of ownership, and the hinge area cracked. This really matters because it is constructed in a way that the hinge is under tension when opened, causing it to crack further, and if the hinge is damaged, it can not seal the opening properly when closed.I tried to ask the company for any help considering how defective the vessel must be to break so easily, but I was told that they would only provide a small discount on buying a new bottle if I ordered one over the phone. Their Twitter ""customer support"" was worthless as well.Don't let all their hippy crap about water awareness fool you. These cheap bottles aren't worth it. The awareness you should have is that you're going to pay a lot for a poorly made product."
